region,product_id,product_name,units_sold,revenue,avg_price,sales_rep,quarter
North,P-101,Enterprise Suite,120,72000.00,600.00,Alice Morgan,Q2-2024
North,P-205,Cloud Storage Pro,80,24000.00,300.00,Alice Morgan,Q2-2024
North,P-318,Analytics Dashboard,45,31500.00,700.00,Bob Turner,Q2-2024
South,P-101,Enterprise Suite,95,57000.00,600.00,Carlos Rivera,Q2-2024
South,P-205,Cloud Storage Pro,110,33000.00,300.00,Carlos Rivera,Q2-2024
South,P-422,Security Shield,60,54000.00,900.00,Diana Patel,Q2-2024
East,P-101,Enterprise Suite,200,120000.00,600.00,Eve Nakamura,Q2-2024
East,P-318,Analytics Dashboard,75,52500.00,700.00,Eve Nakamura,Q2-2024
East,P-505,DevOps Toolkit,130,78000.00,600.00,Frank Lee,Q2-2024
West,P-205,Cloud Storage Pro,150,45000.00,300.00,Grace Kim,Q2-2024
West,P-422,Security Shield,40,36000.00,900.00,Grace Kim,Q2-2024
West,P-505,DevOps Toolkit,90,54000.00,600.00,Henry Davis,Q2-2024
Central,P-101,Enterprise Suite,55,33000.00,600.00,Iris Chen,Q2-2024
Central,P-318,Analytics Dashboard,30,21000.00,700.00,Iris Chen,Q2-2024
Central,P-605,AI Assistant Pro,20,30000.00,1500.00,Jack Wilson,Q2-2024
